"country","variable","region"
"Monaco",89.8,"Europe"
"Singapore",86.7,"East and Southeast Asia"
"Macau",85.3,"East and Southeast Asia"
"Japan",85.2,"East and Southeast Asia"
"Canada",84.2,"North America"
"San Marino",84.2,"Europe"
"Hong Kong",84,"East and Southeast Asia"
"Iceland",84,"Europe"
"Switzerland",83.9,"Europe"
"Andorra",83.8,"Europe"
"Guernsey",83.6,"Europe"
"Malta",83.6,"Europe"
"Australia",83.5,"Australia and Oceania"
"Luxembourg",83.4,"Europe"
"Korea, South",83.4,"East and Southeast Asia"
"Israel",83.1,"Middle East"
"Jersey",83,"Europe"
"Spain",83,"Europe"
"Italy",83,"Europe"
"Liechtenstein",83,"Europe"
"Sweden",82.9,"Europe"
"Norway",82.9,"Europe"
"New Zealand",82.9,"Australia and Oceania"
"Austria",82.7,"Europe"
"France",82.6,"Europe"
"Anguilla",82.6,"Central America and the Caribbean"
"Cayman Islands",82.5,"Central America and the Caribbean"
"Isle of Man",82.5,"Europe"
"Bermuda",82.5,"North America"
"Belgium",82.3,"Europe"
"Finland",82.2,"Europe"
"Slovenia",82.2,"Europe"
"United Kingdom",82.2,"Europe"
"Puerto Rico",82.1,"Central America and the Caribbean"
"Denmark",82.1,"Europe"
"Ireland",82,"Europe"
"Portugal",81.9,"Europe"
"Germany",81.9,"Europe"
"Netherlands",81.9,"Europe"
"Greece",81.9,"Europe"
"Saint Pierre and Miquelon",81.8,"North America"
"Faroe Islands",81.7,"Europe"
"Taiwan",81.6,"East and Southeast Asia"
"Turks and Caicos Islands",81.3,"Central America and the Caribbean"
"Wallis and Futuna",81.1,"Australia and Oceania"
"Saint Martin",81,"Central America and the Caribbean"
"Saint Barthelemy",81,"Central America and the Caribbean"
"Gibraltar",80.9,"Europe"
"United States",80.9,"North America"
"Saint Helena, Ascension, and Tristan da Cunha",80.9,"Africa"
"Virgin Islands",80.7,"Central America and the Caribbean"
"Bahrain",80.4,"Middle East"
"Qatar",80.3,"Middle East"
"Costa Rica",80.3,"Central America and the Caribbean"
"Chile",80.3,"South America"
"Cyprus",80.2,"Europe"
"British Virgin Islands",80.1,"Central America and the Caribbean"
"Cuba",80.1,"Central America and the Caribbean"
"Curacao",79.9,"Central America and the Caribbean"
"United Arab Emirates",79.9,"Middle East"
"Albania",79.9,"Europe"
"Sint Maarten",79.7,"Central America and the Caribbean"
"Kuwait",79.6,"Middle East"
"Saint Lucia",79.4,"Central America and the Caribbean"
"New Caledonia",79.3,"Australia and Oceania"
"Panama",79.2,"Central America and the Caribbean"
"Lebanon",79.2,"Middle East"
"Barbados",79,"Central America and the Caribbean"
"French Polynesia",78.9,"Australia and Oceania"
"Uruguay",78.9,"South America"
"Brunei",78.9,"East and Southeast Asia"
"Argentina",78.8,"South America"
"Paraguay",78.8,"South America"
"Dominica",78.7,"Central America and the Caribbean"
"China",78.7,"East and Southeast Asia"
"Czechia",78.6,"Europe"
"Bosnia and Herzegovina",78.5,"Europe"
"Aruba",78.5,"Central America and the Caribbean"
"Estonia",78.4,"Europe"
"Antigua and Barbuda",78.3,"Central America and the Caribbean"
"Thailand",78.2,"East and Southeast Asia"
"Montenegro",78.2,"Europe"
"Guam",78,"Australia and Oceania"
"Tonga",78,"Australia and Oceania"
"Algeria",77.9,"Africa"
"Croatia",77.7,"Europe"
"Libya",77.7,"Africa"
"Cook Islands",77.6,"Australia and Oceania"
"Saint Kitts and Nevis",77.6,"Central America and the Caribbean"
"Maldives",77.4,"South Asia"
"Oman",77.4,"Middle East"
"North Macedonia",77.3,"Europe"
"Tunisia",77.3,"Africa"
"Slovakia",77.2,"Europe"
"Solomon Islands",77.2,"Australia and Oceania"
"Saint Vincent and the Grenadines",77.2,"Central America and the Caribbean"
"Saudi Arabia",77.2,"Middle East"
"Northern Mariana Islands",77.1,"Australia and Oceania"
"Romania",76.9,"Europe"
"Sri Lanka",76.8,"South Asia"
"Poland",76.7,"Europe"
"Armenia",76.7,"Central Asia"
"Turkey (Turkiye)",76.7,"Middle East"
"Bahamas, The",76.7,"Central America and the Caribbean"
"Seychelles",76.6,"Africa"
"Malaysia",76.6,"East and Southeast Asia"
"Trinidad and Tobago",76.5,"Central America and the Caribbean"
"West Bank",76.5,"Middle East"
"Jordan",76.5,"Middle East"
"Latvia",76.4,"Europe"
"Jamaica",76.3,"Central America and the Caribbean"
"Grenada",76.3,"Central America and the Caribbean"
"Brazil",76.3,"South America"
"Uzbekistan",76.2,"Central Asia"
"Vietnam",76.1,"East and Southeast Asia"
"Montserrat",76.1,"Central America and the Caribbean"
"Lithuania",76.1,"Europe"
"Bulgaria",76.1,"Europe"
"Hungary",76,"Europe"
"Azerbaijan",75.9,"Central Asia"
"El Salvador",75.9,"Central America and the Caribbean"
"American Samoa",75.8,"Australia and Oceania"
"Vanuatu",75.7,"Australia and Oceania"
"Samoa",75.7,"Australia and Oceania"
"Iran",75.6,"Middle East"
"Gaza Strip",75.5,"Middle East"
"Mauritius",75.4,"Africa"
"Serbia",75.3,"Europe"
"Bangladesh",75.2,"South Asia"
"Marshall Islands",75.2,"Australia and Oceania"
"Palau",75.2,"Australia and Oceania"
"Egypt",75,"Africa"
"Micronesia, Federated States of",75,"Australia and Oceania"
"Colombia",74.9,"South America"
"Ecuador",74.9,"South America"
"Fiji",74.8,"Australia and Oceania"
"Syria",74.8,"Middle East"
"Belarus",74.7,"Europe"
"Nicaragua",74.7,"Central America and the Caribbean"
"Mexico",74.6,"North America"
"Greenland",74.5,"North America"
"Venezuela",74.5,"South America"
"Belize",74.3,"Central America and the Caribbean"
"Cabo Verde",74.3,"Africa"
"Morocco",74.2,"Africa"
"Iraq",73.7,"Middle East"
"Bhutan",73.7,"South Asia"
"Indonesia",73.6,"East and Southeast Asia"
"Guatemala",73.5,"Central America and the Caribbean"
"Korea, North",73.5,"East and Southeast Asia"
"Kazakhstan",73.3,"Central Asia"
"Honduras",73.1,"Central America and the Caribbean"
"Kosovo",73.1,"Europe"
"Nepal",73,"South Asia"
