"country","variable","region"
"Somalia",81.5,"Africa"
"Central African Republic",79.3,"Africa"
"Equatorial Guinea",76.9,"Africa"
"Sierra Leone",70.1,"Africa"
"Nigeria",65.6,"Africa"
"Niger",63,"Africa"
"Chad",61.1,"Africa"
"South Sudan",58.6,"Africa"
"Mozambique",56.7,"Africa"
"Mali",55.8,"Africa"
"Congo, Democratic Republic of the",55.8,"Africa"
"Liberia",55.2,"Africa"
"Comoros",53.9,"Africa"
"Cote d'Ivoire",52.3,"Africa"
"Lesotho",52.2,"Africa"
"Benin",51.6,"Africa"
"Pakistan",50.3,"South Asia"
"Burkina Faso",48,"Africa"
"Angola",46.1,"Africa"
"Guinea",45.8,"Africa"
"Guinea-Bissau",45.1,"Africa"
"Cameroon",44.6,"Africa"
"Djibouti",44.3,"Africa"
"Yemen",42.4,"Middle East"
"Afghanistan",42,"South Asia"
"Timor-Leste",41.9,"East and Southeast Asia"
"Sao Tome and Principe",41.7,"Africa"
"Sudan",39.7,"Africa"
"Eritrea",39,"Africa"
"Madagascar",38.4,"Africa"
"Eswatini",38,"Africa"
"Burundi",35.3,"Africa"
"Haiti",35,"Central America and the Caribbean"
"Gambia, The",35,"Africa"
"Turkmenistan",35,"Central Asia"
"Togo",34.5,"Africa"
"Laos",34.2,"East and Southeast Asia"
"Zimbabwe",32.8,"Africa"
"Papua New Guinea",31.3,"East and Southeast Asia"
"Ethiopia",31.3,"Africa"
"Kiribati",30.8,"Australia and Oceania"
"Burma",30.8,"East and Southeast Asia"
"Ghana",30.5,"Africa"
"India",30.5,"South Asia"
"Senegal",30.4,"Africa"
"Zambia",30.1,"Africa"
"Mauritania",29.9,"Africa"
"Congo, Republic of the",29.9,"Africa"
"Suriname",29.3,"South America"
"Malawi",28.9,"Africa"
"Tanzania",28.4,"Africa"
"Botswana",27.8,"Africa"
"Uganda",27.5,"Africa"
"Rwanda",27.4,"Africa"
"Cambodia",27.2,"East and Southeast Asia"
"Tuvalu",27.2,"Australia and Oceania"
"Namibia",27.1,"Africa"
"Kenya",26.8,"Africa"
"Gabon",26,"Africa"
"Kyrgyzstan",24,"Central Asia"
"Maldives",23.7,"South Asia"
"Guatemala",23.4,"Central America and the Caribbean"
"Nepal",23.4,"South Asia"
"Bhutan",23,"South Asia"
"Bolivia",22.1,"South America"
"Bangladesh",22,"South Asia"
"Cabo Verde",21.9,"Africa"
"Paraguay",21.4,"South America"
"Kosovo",21,"Europe"
"Georgia",20.9,"Central Asia"
"Dominican Republic",20.8,"Central America and the Caribbean"
"Guyana",20.6,"South America"
"Micronesia, Federated States of",20.4,"Australia and Oceania"
"Tajikistan",20.3,"Central Asia"
"Marshall Islands",20.1,"Australia and Oceania"
"South Africa",19.7,"Africa"
"Solomon Islands",18.6,"Australia and Oceania"
"Algeria",18.6,"Africa"
"Indonesia",18.5,"East and Southeast Asia"
"Philippines",18.5,"East and Southeast Asia"
"Iraq",18.3,"Middle East"
"Turkey (Turkiye)",17.9,"Middle East"
"Morocco",17.8,"Africa"
"Uzbekistan",17.6,"Central Asia"
"Saint Helena, Ascension, and Tristan da Cunha",17.5,"Africa"
"Samoa",17.2,"Australia and Oceania"
"Egypt",16.4,"Africa"
"Honduras",15.4,"Central America and the Caribbean"
"Barbados",15.1,"Central America and the Caribbean"
"Cook Islands",14.8,"Australia and Oceania"
"Korea, North",14.7,"East and Southeast Asia"
"Syria",14.7,"Middle East"
"Trinidad and Tobago",14.7,"Central America and the Caribbean"
"Jamaica",14.5,"Central America and the Caribbean"
"Gaza Strip",14.2,"Middle East"
"West Bank",14.2,"Middle East"
"Nicaragua",14.1,"Central America and the Caribbean"
"Vietnam",13.8,"East and Southeast Asia"
"Oman",13.6,"Middle East"
"Venezuela",13.6,"South America"
"Moldova",13.5,"Europe"
"Vanuatu",13.4,"Australia and Oceania"
