country,region,infant_mortality,maternal_mortality,life_expectancy
Somalia,Africa,81.5,563,56.5
Central African Republic,Africa,79.3,692,56.4
Equatorial Guinea,Africa,76.9,174,63.9
Sierra Leone,Africa,70.1,354,59.4
Nigeria,Africa,65.6,993,62.2
Niger,Africa,63,350,60.9
Chad,Africa,61.1,748,60
South Sudan,Africa,58.6,692,60.3
Mozambique,Africa,56.7,82,58.3
Mali,Africa,55.8,367,63.2
"Congo, Democratic Republic of the",Africa,55.8,427,62.6
Liberia,Africa,55.2,628,61.6
Comoros,Africa,53.9,179,67.8
Cote d'Ivoire,Africa,52.3,359,63.2
Lesotho,Africa,52.2,478,60.2
Benin,Africa,51.6,518,63
Pakistan,South Asia,50.3,155,70.3
Burkina Faso,Africa,48,242,64.2
Angola,Africa,46.1,183,62.9
Guinea,Africa,45.8,494,64.6
Guinea-Bissau,Africa,45.1,505,64.5
Cameroon,Africa,44.6,258,64.2
Djibouti,Africa,44.3,162,65.9
Yemen,Middle East,42.4,118,68.2
Afghanistan,South Asia,42,521,54.4
Timor-Leste,East and Southeast Asia,41.9,192,70.5
Sao Tome and Principe,Africa,41.7,75,67.7
Sudan,Africa,39.7,256,67.8
Eritrea,Africa,39,291,67.5
Madagascar,Africa,38.4,445,68.8
Eswatini,Africa,38,118,60.7
Burundi,Africa,35.3,392,68.1
Haiti,Central America and the Caribbean,35,328,65.6
"Gambia, The",Africa,35,354,68.4
Turkmenistan,Central Asia,35,5,72.4
Togo,Africa,34.5,349,72.1
Laos,East and Southeast Asia,34.2,112,69
Zimbabwe,Africa,32.8,358,67.2
Papua New Guinea,East and Southeast Asia,31.3,189,70.1
Ethiopia,Africa,31.3,195,67.7
Kiribati,Australia and Oceania,30.8,80,68.5
Burma,East and Southeast Asia,30.8,185,70.3
Ghana,Africa,30.5,234,70.1
India,South Asia,30.5,80,68.2
Senegal,Africa,30.4,237,70.6
Zambia,Africa,30.1,85,66.9
Mauritania,Africa,29.9,381,65.9
"Congo, Republic of the",Africa,29.9,241,72.9
Suriname,South America,29.3,84,72.7
Malawi,Africa,28.9,225,73
Tanzania,Africa,28.4,276,70.8
Botswana,Africa,27.8,155,66.4
Uganda,Africa,27.5,170,69.7
Rwanda,Africa,27.4,229,66.6
Cambodia,East and Southeast Asia,27.2,137,71.4
